ID,node,species,genus,family,order,subclass,class,phylum,resolution,category,SBS1,SBS2,SBS3,SBS4,LPS1,LPS2,LPS3,LPS4,LCS1,LCS2,LCS3,LCS4,GAS1,GAS2,GAS3,GAS4,ECS4,ECS4,ECS4,ECS4,EZS1,EZS2,EMS1,EMS2,EMS3,EMS4,LCAS1,LCAS2,LCAS3
0,Substrate,NA,NA,NA,NA,NA,NA,NA,NA,NA,om,om,om,om,sa,sa,"sa,si,om",sa,"sa,om","sa,g","g,sa,si,om","sa,om","s,sh","s,sh","s,sh,g,ss","s,sh","s,ss","s,ss","s,ss",sa,"si,cl,om","si,cl,om","si,cl,om","si,cl,om","si,cl,om","si,cl,om","s,ss,sa","s,ss,sa","s,ss,sa"
1,Nematoda,NA,NA,NA,NA,NA,NA,Nematoda,phylum,invertebrate,0,0,6,0,0,0,0,2,0,0,1,6,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
2,Oligochaeta,NA,NA,NA,NA,Oligochaeta,Clitellata,Annelida,subclass,invertebrate,4,0,3,2,2,12,12,6,2,2,7,43,2,0,1,1,0,36,1,1,39,124,1,6,24,4,1,1,14
3,Hirudinea,NA,NA,NA,NA,Hirudinea,Clitellata,Annelida,subclass,invertebrate,0,0,1,0,13,1,4,0,8,0,2,22,1,0,0,0,0,0,1,0,6,0,0,0,0,1,0,0,0
4,Acari,NA,NA,NA,NA,Acari,Arachnida,Arthropoda,subclass,invertebrate,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Isotomidae,NA,NA,Isotomidae,Entomobryomorpha,NA,Collembola,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Baetidae,NA,NA,Baetidae,Ephemeroptera,NA,Insecta,Arthropoda,family,invertebrate,67,2,40,33,1,0,4,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Leptohyphidae,NA,NA,Leptohyphidae,Ephemeroptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Leptophlebiidae,NA,NA,Leptophlebiidae,Ephemeroptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Caenidae,NA,NA,Caenidae,Ephemeroptera,NA,Insecta,Arthropoda,family,invertebrate,113,13,154,52,24,1,14,2,7,4,15,4,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0
10,Ephemeroptera ,NA,NA,NA,Ephemeroptera,NA,Insecta,Arthropoda,order,invertebrate,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Ephemeridae,NA,NA,Ephemeridae,Ephemeroptera,NA,Insecta,Arthropoda,family,invertebrate,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Libellulidae,NA,NA,Libellulidae,Odonata,NA,Insecta,Arthropoda,family,invertebrate,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Lestidae,NA,NA,Lestidae,Odonata,NA,Insecta,Arthropoda,family,invertebrate,5,9,1,0,10,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Anisoptera,NA,NA,NA,Anisoptera,NA,Insecta,Arthropoda,order,invertebrate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0
15,Coenagrionidae,NA,NA,Coenagrionidae,Odonata,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Gomphidae,NA,NA,Gomphidae,Odonata,NA,Insecta,Arthropoda,family,invertebrate,20,9,8,0,2,0,1,0,0,0,0,0,10,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,Odonata,NA,NA,NA,Odonata,NA,Insecta,Arthropoda,order,invertebrate,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Corixidae,NA,NA,Corixidae,Hemiptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,1,0,0,15,13,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Belostomatidae,NA,NA,Belostomatidae,Hemiptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,6,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Veliidae,NA,NA,Veliidae,Hemiptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Notonectidae,NA,NA,Notonectidae,Hemiptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Gerridae,NA,NA,Gerridae,Hemiptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Hemiptera,NA,NA,NA,Hemiptera,NA,Insecta,Arthropoda,order,invertebrate,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Haliplidae,NA,NA,Haliplidae,Coleoptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Dytiscidae,NA,NA,Dytiscidae,Coleoptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Hydrophilidae,NA,NA,Hydrophilidae,Coleoptera,NA,Insecta,Arthropoda,family,invertebrate,1,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Staphylinidae,NA,NA,Staphylinidae,Coleoptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Elmidae,NA,NA,Elmidae,Coleoptera,NA,Insecta,Arthropoda,family,invertebrate,2,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Chrisomelidae,NA,NA,Chrisomelidae,Coleoptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Noteridae,NA,NA,Noteridae,Coleoptera,NA,Insecta,Arthropoda,family,invertebrate,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
